time,level,message
2026-02-19 19:09:13.430,ERROR,"10158 --- [nio-8080-exec-7] c.n.p.service.MeshDataService      : Failed to update account accountId=592, status=400"
2026-02-19 19:09:14.430,ERROR,10159 --- [nio-8080-exec-12] c.n.p.service.MeshDataService      : Fetching account details for accountId=230
2026-02-19 19:09:22.430,ERROR,"10167 --- [nio-8080-exec-12] c.n.p.controller.MeshDataController      : Asset created successfully, assetId=946"
2026-02-19 19:09:23.430,ERROR,10168 --- [nio-8080-exec-13] c.n.p.controller.MeshDataController      : Health check OK
2026-02-19 19:09:25.430,ERROR,"10170 --- [nio-8080-exec-9] c.n.p.controller.MeshDataController      : Failed to return account details for accountId=597, status=404"
2026-02-19 19:09:36.430,ERROR,"10181 --- [nio-8080-exec-9] c.n.p.service.MeshDataService      : Failed to return account details for accountId=850, status=404"
2026-02-19 19:09:38.430,ERROR,"10183 --- [nio-8080-exec-11] c.n.p.controller.MeshDataController      : Creating asset with payload={""name"":""AssetAssetX"",""type"":""Stock""}"
2026-02-19 19:09:46.430,ERROR,10191 --- [nio-8080-exec-12] c.n.p.service.MeshDataService      : Successfully returned asset details for assetId=904
2026-02-19 19:09:48.430,ERROR,"10193 --- [nio-8080-exec-9] c.n.p.controller.MeshDataController      : Failed to return asset details for assetId=1047, status=404"
2026-02-19 19:09:52.430,ERROR,10197 --- [nio-8080-exec-20] c.n.p.controller.MeshDataController      : Account not found for accountId=375
2026-02-19 19:09:53.430,ERROR,"10198 --- [nio-8080-exec-1] c.n.p.controller.MeshDataController      : Failed to return asset details for assetId=345, status=404"
2026-02-19 19:09:55.430,ERROR,"10200 --- [nio-8080-exec-9] c.n.p.service.MeshDataService      : Failed to return account details for accountId=836, status=404"
2026-02-19 19:10:03.430,ERROR,"10208 --- [nio-8080-exec-13] c.n.p.service.MeshDataService      : Creating asset with payload={""name"":""AssetAssetI"",""type"":""MutualFund""}"
2026-02-19 19:10:04.430,ERROR,"10209 --- [nio-8080-exec-17] c.n.p.service.MeshDataService      : Asset created successfully, assetId=910"
2026-02-19 19:10:08.430,ERROR,10213 --- [nio-8080-exec-18] c.n.p.controller.MeshDataController      : Fetching asset details for assetId=868
2026-02-19 19:10:11.430,ERROR,"10216 --- [nio-8080-exec-17] c.n.p.controller.MeshDataController      : Could not delete asset assetId=640, status=409"
2026-02-19 19:10:12.430,ERROR,"10217 --- [nio-8080-exec-7] c.n.p.service.MeshDataService      : Creating asset with payload={""name"":""AssetAssetC"",""type"":""Bond""}"
2026-02-19 19:10:24.430,ERROR,"10229 --- [nio-8080-exec-14] c.n.p.controller.MeshDataController      : Creating asset with payload={""name"":""AssetAssetR"",""type"":""Bond""}"
2026-02-19 19:10:25.430,ERROR,10230 --- [nio-8080-exec-8] c.n.p.controller.MeshDataController      : Successfully returned account details for accountId=295
2026-02-19 19:10:36.430,ERROR,"10241 --- [nio-8080-exec-18] c.n.p.controller.MeshDataController      : Failed to update account accountId=603, status=400"
2026-02-19 19:10:41.430,ERROR,10246 --- [nio-8080-exec-12] c.n.p.service.MeshDataService      : Deleting asset with assetId=923
2026-02-19 19:10:44.430,ERROR,10249 --- [nio-8080-exec-17] c.n.p.service.MeshDataService      : Fetching asset details for assetId=149
2026-02-19 19:10:51.430,ERROR,10256 --- [nio-8080-exec-20] c.n.p.controller.MeshDataController      : Account not found for accountId=604
2026-02-19 19:10:58.430,ERROR,10263 --- [nio-8080-exec-19] c.n.p.controller.MeshDataController      : Successfully returned account details for accountId=1091
2026-02-19 19:10:59.430,ERROR,"10264 --- [nio-8080-exec-8] c.n.p.service.MeshDataService      : Failed to return asset details for assetId=505, status=404"
2026-02-19 19:11:02.430,ERROR,10267 --- [nio-8080-exec-12] c.n.p.controller.MeshDataController      : Successfully returned account details for accountId=961
2026-02-19 19:11:03.430,ERROR,10268 --- [nio-8080-exec-5] c.n.p.controller.MeshDataController      : Received PUT request for /api/v1/logout830
2026-02-19 19:11:05.430,ERROR,10270 --- [nio-8080-exec-13] c.n.p.controller.MeshDataController      : Account not found for accountId=336
2026-02-19 19:11:08.430,ERROR,10273 --- [nio-8080-exec-17] c.n.p.controller.MeshDataController      : Asset not found for assetId=153
2026-02-19 19:11:09.430,ERROR,10274 --- [nio-8080-exec-10] c.n.p.service.MeshDataService      : Health check OK
2026-02-19 19:11:13.430,ERROR,10278 --- [nio-8080-exec-12] c.n.p.service.MeshDataService      : Health check OK
2026-02-19 19:11:22.430,ERROR,"10287 --- [nio-8080-exec-12] c.n.p.service.MeshDataService      : Could not delete asset assetId=524, status=409"
2026-02-19 19:11:38.430,ERROR,10303 --- [nio-8080-exec-16] c.n.p.service.MeshDataService      : Account not found for accountId=1069
2026-02-19 19:11:40.430,ERROR,10305 --- [nio-8080-exec-4] c.n.p.controller.MeshDataController      : Deleting asset with assetId=907
2026-02-19 19:11:45.430,ERROR,"10310 --- [nio-8080-exec-5] c.n.p.controller.MeshDataController      : Creating asset with payload={""name"":""AssetAssetC"",""type"":""MutualFund""}"
2026-02-19 19:11:46.430,ERROR,10311 --- [nio-8080-exec-16] c.n.p.controller.MeshDataController      : Asset not found for assetId=1005
2026-02-19 19:11:47.430,ERROR,"10312 --- [nio-8080-exec-13] c.n.p.controller.MeshDataController      : Failed to update account accountId=768, status=400"
2026-02-19 19:11:48.430,ERROR,"10313 --- [nio-8080-exec-2] c.n.p.service.MeshDataService      : Failed to update account accountId=602, status=400"
2026-02-19 19:11:58.430,ERROR,10323 --- [nio-8080-exec-19] c.n.p.controller.MeshDataController      : Fetching asset details for assetId=743
2026-02-19 19:12:07.430,ERROR,10332 --- [nio-8080-exec-7] c.n.p.service.MeshDataService      : Health check OK
2026-02-19 19:12:11.430,ERROR,"10336 --- [nio-8080-exec-18] c.n.p.controller.MeshDataController      : Failed to return account details for accountId=446, status=404"
2026-02-19 19:12:13.430,ERROR,"10338 --- [nio-8080-exec-17] c.n.p.service.MeshDataService      : Asset created successfully, assetId=309"
2026-02-19 19:12:17.430,ERROR,10342 --- [nio-8080-exec-1] c.n.p.service.MeshDataService      : Received PUT request for /api/v1/login274
2026-02-19 19:12:23.430,ERROR,10348 --- [nio-8080-exec-10] c.n.p.service.MeshDataService      : Asset creation took longer than expected (duration=1399ms)
2026-02-19 19:12:31.430,ERROR,10356 --- [nio-8080-exec-5] c.n.p.controller.MeshDataController      : Health check OK
2026-02-19 19:12:34.430,ERROR,10359 --- [nio-8080-exec-9] c.n.p.controller.MeshDataController      : Fetching account details for accountId=286
2026-02-19 19:12:37.430,ERROR,10362 --- [nio-8080-exec-4] c.n.p.controller.MeshDataController      : Asset not found for assetId=452
2026-02-19 19:12:39.430,ERROR,10364 --- [nio-8080-exec-9] c.n.p.service.MeshDataService      : Account not found for accountId=794
2026-02-19 19:12:41.430,ERROR,10366 --- [nio-8080-exec-11] c.n.p.controller.MeshDataController      : Successfully returned asset details for assetId=491
2026-02-19 19:12:42.430,ERROR,"10367 --- [nio-8080-exec-2] c.n.p.service.MeshDataService      : Failed to return asset details for assetId=277, status=404"
2026-02-19 19:12:45.430,ERROR,10370 --- [nio-8080-exec-18] c.n.p.controller.MeshDataController      : Received DELETE request for /api/v1/login1074
2026-02-19 19:12:47.430,ERROR,"10372 --- [nio-8080-exec-12] c.n.p.controller.MeshDataController      : Could not delete asset assetId=362, status=409"
2026-02-19 19:12:51.430,ERROR,10376 --- [nio-8080-exec-6] c.n.p.service.MeshDataService      : Asset creation took longer than expected (duration=2856ms)
2026-02-19 19:13:00.430,ERROR,"10385 --- [nio-8080-exec-11] c.n.p.service.MeshDataService      : Asset created successfully, assetId=236"
2026-02-19 19:13:02.430,ERROR,10387 --- [nio-8080-exec-9] c.n.p.service.MeshDataService      : Successfully returned account details for accountId=1073
2026-02-19 19:13:08.430,ERROR,"10393 --- [nio-8080-exec-11] c.n.p.controller.MeshDataController      : Validation failed for accountId=287, reason=Invalid phone number"
2026-02-19 19:13:12.430,ERROR,10397 --- [nio-8080-exec-12] c.n.p.controller.MeshDataController      : Deleting asset with assetId=810
2026-02-19 19:13:13.430,ERROR,10398 --- [nio-8080-exec-16] c.n.p.service.MeshDataService      : Asset not found for assetId=547
2026-02-19 19:13:18.430,ERROR,10403 --- [nio-8080-exec-7] c.n.p.controller.MeshDataController      : Asset creation took longer than expected (duration=1443ms)
2026-02-19 19:13:20.430,ERROR,"10405 --- [nio-8080-exec-5] c.n.p.service.MeshDataService      : Failed to update account accountId=659, status=400"
2026-02-19 19:13:27.430,ERROR,10412 --- [nio-8080-exec-11] c.n.p.controller.MeshDataController      : Account not found for accountId=292
2026-02-19 19:13:40.430,ERROR,"10425 --- [nio-8080-exec-8] c.n.p.service.MeshDataService      : Failed to update account accountId=449, status=400"
2026-02-19 19:13:43.430,ERROR,"10428 --- [nio-8080-exec-2] c.n.p.service.MeshDataService      : Asset created successfully, assetId=873"
2026-02-19 19:13:45.430,ERROR,10430 --- [nio-8080-exec-17] c.n.p.service.MeshDataService      : Deleting asset with assetId=180
2026-02-19 19:13:46.430,ERROR,10431 --- [nio-8080-exec-9] c.n.p.controller.MeshDataController      : Health check OK
2026-02-19 19:13:52.430,ERROR,10437 --- [nio-8080-exec-19] c.n.p.controller.MeshDataController      : Successfully returned asset details for assetId=429
2026-02-19 19:14:14.430,ERROR,10459 --- [nio-8080-exec-13] c.n.p.service.MeshDataService      : Asset creation took longer than expected (duration=1481ms)
2026-02-19 19:14:21.430,ERROR,10466 --- [nio-8080-exec-12] c.n.p.controller.MeshDataController      : Asset not found for assetId=948
2026-02-19 19:14:28.430,ERROR,10473 --- [nio-8080-exec-15] c.n.p.controller.MeshDataController      : Fetching account details for accountId=572
2026-02-19 19:14:31.430,ERROR,"10476 --- [nio-8080-exec-4] c.n.p.controller.MeshDataController      : Failed to return account details for accountId=406, status=404"
2026-02-19 19:14:35.430,ERROR,10480 --- [nio-8080-exec-19] c.n.p.service.MeshDataService      : Fetching asset details for assetId=448
2026-02-19 19:14:46.430,ERROR,10491 --- [nio-8080-exec-16] c.n.p.service.MeshDataService      : Successfully returned account details for accountId=651
2026-02-19 19:14:51.430,ERROR,10496 --- [nio-8080-exec-20] c.n.p.service.MeshDataService      : Asset creation took longer than expected (duration=2571ms)
2026-02-19 19:14:52.430,ERROR,10497 --- [nio-8080-exec-18] c.n.p.controller.MeshDataController      : Received POST request for /api/v1/logout297
2026-02-19 19:14:55.430,ERROR,10500 --- [nio-8080-exec-10] c.n.p.controller.MeshDataController      : Successfully returned account details for accountId=760
2026-02-19 19:14:56.430,ERROR,10501 --- [nio-8080-exec-20] c.n.p.controller.MeshDataController      : Successfully returned asset details for assetId=925
2026-02-19 19:14:59.430,ERROR,"10504 --- [nio-8080-exec-12] c.n.p.service.MeshDataService      : Failed to update account accountId=230, status=400"
2026-02-19 19:15:00.430,ERROR,"10505 --- [nio-8080-exec-10] c.n.p.service.MeshDataService      : Failed to update account accountId=576, status=400"
2026-02-19 19:15:05.430,ERROR,"10510 --- [nio-8080-exec-20] c.n.p.service.MeshDataService      : Asset created successfully, assetId=550"
2026-02-19 19:15:07.430,ERROR,"10512 --- [nio-8080-exec-9] c.n.p.service.MeshDataService      : Asset created successfully, assetId=725"
2026-02-19 19:15:09.430,ERROR,"10514 --- [nio-8080-exec-2] c.n.p.service.MeshDataService      : Creating asset with payload={""name"":""AssetAssetC"",""type"":""Bond""}"
2026-02-19 19:15:15.430,ERROR,10520 --- [nio-8080-exec-17] c.n.p.controller.MeshDataController      : Asset not found for assetId=170
2026-02-19 19:15:19.430,ERROR,10524 --- [nio-8080-exec-4] c.n.p.controller.MeshDataController      : Asset not found for assetId=672
2026-02-19 19:15:21.430,ERROR,10526 --- [nio-8080-exec-2] c.n.p.controller.MeshDataController      : Fetching asset details for assetId=726
2026-02-19 19:15:24.430,ERROR,"10529 --- [nio-8080-exec-1] c.n.p.controller.MeshDataController      : Asset created successfully, assetId=659"
2026-02-19 19:15:27.430,ERROR,10532 --- [nio-8080-exec-15] c.n.p.controller.MeshDataController      : Deleting asset with assetId=457
2026-02-19 19:15:29.430,ERROR,10534 --- [nio-8080-exec-14] c.n.p.service.MeshDataService      : Health check OK
2026-02-19 19:15:34.430,ERROR,10539 --- [nio-8080-exec-15] c.n.p.service.MeshDataService      : Successfully returned asset details for assetId=853
2026-02-19 19:15:43.430,ERROR,10548 --- [nio-8080-exec-9] c.n.p.service.MeshDataService      : Successfully returned account details for accountId=292
2026-02-19 19:15:51.430,ERROR,10556 --- [nio-8080-exec-16] c.n.p.service.MeshDataService      : Deleting asset with assetId=945
2026-02-19 19:15:56.430,ERROR,"10561 --- [nio-8080-exec-18] c.n.p.controller.MeshDataController      : Failed to return asset details for assetId=907, status=404"
2026-02-19 19:15:59.430,ERROR,"10564 --- [nio-8080-exec-10] c.n.p.service.MeshDataService      : Failed to return asset details for assetId=313, status=404"
2026-02-19 19:16:04.430,ERROR,10569 --- [nio-8080-exec-17] c.n.p.controller.MeshDataController      : Received PUT request for /api/v1/logout978
2026-02-19 19:16:05.430,ERROR,10570 --- [nio-8080-exec-3] c.n.p.controller.MeshDataController      : Asset creation took longer than expected (duration=1244ms)
2026-02-19 19:16:16.430,ERROR,"10581 --- [nio-8080-exec-13] c.n.p.controller.MeshDataController      : Creating asset with payload={""name"":""AssetAssetS"",""type"":""MutualFund""}"
2026-02-19 19:16:17.430,ERROR,10582 --- [nio-8080-exec-17] c.n.p.controller.MeshDataController      : Asset creation took longer than expected (duration=2162ms)
2026-02-19 19:16:20.430,ERROR,10585 --- [nio-8080-exec-3] c.n.p.controller.MeshDataController      : Received DELETE request for /api/v1/assets/426
2026-02-19 19:16:31.430,ERROR,10596 --- [nio-8080-exec-14] c.n.p.controller.MeshDataController      : Deleting asset with assetId=843
2026-02-19 19:16:32.430,ERROR,10597 --- [nio-8080-exec-8] c.n.p.service.MeshDataService      : Received POST request for /api/v1/logout783
2026-02-19 19:16:36.430,ERROR,10601 --- [nio-8080-exec-4] c.n.p.service.MeshDataService      : Asset creation took longer than expected (duration=2482ms)
2026-02-19 19:16:38.430,ERROR,10603 --- [nio-8080-exec-13] c.n.p.service.MeshDataService      : Fetching account details for accountId=329
2026-02-19 19:16:41.430,ERROR,"10606 --- [nio-8080-exec-2] c.n.p.service.MeshDataService      : Could not delete asset assetId=575, status=409"
2026-02-19 19:16:44.430,ERROR,10609 --- [nio-8080-exec-20] c.n.p.controller.MeshDataController      : Received PUT request for /api/v1/login701
2026-02-19 19:16:45.430,ERROR,10610 --- [nio-8080-exec-2] c.n.p.service.MeshDataService      : Account not found for accountId=594
2026-02-19 19:16:48.430,ERROR,"10613 --- [nio-8080-exec-18] c.n.p.controller.MeshDataController      : Asset created successfully, assetId=429"
2026-02-19 19:16:50.430,ERROR,"10615 --- [nio-8080-exec-11] c.n.p.controller.MeshDataController      : Creating asset with payload={""name"":""AssetAssetY"",""type"":""Stock""}"
2026-02-19 19:17:01.430,ERROR,10626 --- [nio-8080-exec-14] c.n.p.controller.MeshDataController      : Successfully returned account details for accountId=588
2026-02-19 19:17:03.430,ERROR,"10628 --- [nio-8080-exec-9] c.n.p.service.MeshDataService      : Failed to update account accountId=782, status=400"
2026-02-19 19:17:12.430,ERROR,10637 --- [nio-8080-exec-7] c.n.p.service.MeshDataService      : Asset creation took longer than expected (duration=2398ms)
2026-02-19 19:17:16.430,ERROR,"10641 --- [nio-8080-exec-16] c.n.p.controller.MeshDataController      : Could not delete asset assetId=393, status=409"
2026-02-19 19:17:18.430,ERROR,"10643 --- [nio-8080-exec-17] c.n.p.controller.MeshDataController      : Failed to return asset details for assetId=845, status=404"
2026-02-19 19:17:28.430,ERROR,"10653 --- [nio-8080-exec-20] c.n.p.service.MeshDataService      : Validation failed for accountId=952, reason=Invalid phone number"
2026-02-19 19:17:30.430,ERROR,10655 --- [nio-8080-exec-4] c.n.p.controller.MeshDataController      : Fetching account details for accountId=426
2026-02-19 19:17:33.430,ERROR,10658 --- [nio-8080-exec-4] c.n.p.service.MeshDataService      : Successfully returned account details for accountId=462
2026-02-19 19:17:36.430,ERROR,10661 --- [nio-8080-exec-16] c.n.p.service.MeshDataService      : Successfully returned asset details for assetId=421
2026-02-19 19:17:38.430,ERROR,10663 --- [nio-8080-exec-2] c.n.p.service.MeshDataService      : Successfully returned account details for accountId=1088
2026-02-19 19:17:39.430,ERROR,"10664 --- [nio-8080-exec-20] c.n.p.controller.MeshDataController      : Failed to delete asset, assetId=159, reason=Asset in use"
2026-02-19 19:17:51.430,ERROR,"10676 --- [nio-8080-exec-18] c.n.p.controller.MeshDataController      : Failed to update account accountId=1054, status=400"
2026-02-19 19:17:56.430,ERROR,10681 --- [nio-8080-exec-16] c.n.p.service.MeshDataService      : Fetching account details for accountId=181
2026-02-19 19:17:58.430,ERROR,10683 --- [nio-8080-exec-7] c.n.p.controller.MeshDataController      : Received PUT request for /api/v1/login766
2026-02-19 19:18:02.430,ERROR,"10687 --- [nio-8080-exec-20] c.n.p.service.MeshDataService      : Could not delete asset assetId=276, status=409"
2026-02-19 19:18:04.430,ERROR,10689 --- [nio-8080-exec-13] c.n.p.service.MeshDataService      : Account not found for accountId=857
2026-02-19 19:18:06.430,ERROR,10691 --- [nio-8080-exec-9] c.n.p.controller.MeshDataController      : Fetching account details for accountId=274
2026-02-19 19:18:08.430,ERROR,"10693 --- [nio-8080-exec-15] c.n.p.service.MeshDataService      : Failed to return account details for accountId=1070, status=404"
2026-02-19 19:18:12.430,ERROR,"10697 --- [nio-8080-exec-8] c.n.p.service.MeshDataService      : Validation failed for accountId=281, reason=Invalid phone number"
2026-02-19 19:18:15.430,ERROR,"10700 --- [nio-8080-exec-13] c.n.p.controller.MeshDataController      : Failed to delete asset, assetId=190, reason=Asset in use"
2026-02-19 19:18:16.430,ERROR,10701 --- [nio-8080-exec-8] c.n.p.service.MeshDataService      : Deleting asset with assetId=1087
2026-02-19 19:18:20.430,ERROR,10705 --- [nio-8080-exec-6] c.n.p.service.MeshDataService      : Successfully returned asset details for assetId=1045
2026-02-19 19:18:22.430,ERROR,10707 --- [nio-8080-exec-13] c.n.p.controller.MeshDataController      : Account not found for accountId=257
2026-02-19 19:18:23.430,ERROR,10708 --- [nio-8080-exec-12] c.n.p.service.MeshDataService      : Fetching asset details for assetId=709
2026-02-19 19:18:26.430,ERROR,10711 --- [nio-8080-exec-17] c.n.p.controller.MeshDataController      : Fetching asset details for assetId=870
2026-02-19 19:18:30.430,ERROR,10715 --- [nio-8080-exec-10] c.n.p.service.MeshDataService      : Asset creation took longer than expected (duration=2113ms)
2026-02-19 19:18:31.430,ERROR,10716 --- [nio-8080-exec-5] c.n.p.service.MeshDataService      : Fetching account details for accountId=198
2026-02-19 19:18:34.430,ERROR,"10719 --- [nio-8080-exec-7] c.n.p.controller.MeshDataController      : Validation failed for accountId=140, reason=Invalid phone number"
2026-02-19 19:18:38.430,ERROR,10723 --- [nio-8080-exec-17] c.n.p.service.MeshDataService      : Received GET request for /api/v1/login917
2026-02-19 19:18:40.430,ERROR,10725 --- [nio-8080-exec-14] c.n.p.service.MeshDataService      : Received POST request for /api/v1/logout724
2026-02-19 19:18:41.430,ERROR,10726 --- [nio-8080-exec-15] c.n.p.service.MeshDataService      : Asset creation took longer than expected (duration=2320ms)
2026-02-19 19:18:45.430,ERROR,10730 --- [nio-8080-exec-9] c.n.p.controller.MeshDataController      : Account not found for accountId=626
2026-02-19 19:18:51.430,ERROR,10736 --- [nio-8080-exec-1] c.n.p.controller.MeshDataController      : Deleting asset with assetId=490
2026-02-19 19:18:52.430,ERROR,"10737 --- [nio-8080-exec-20] c.n.p.service.MeshDataService      : Failed to delete asset, assetId=995, reason=Asset in use"
2026-02-19 19:18:54.430,ERROR,"10739 --- [nio-8080-exec-5] c.n.p.service.MeshDataService      : Failed to update account accountId=981, status=400"
2026-02-19 19:18:55.430,ERROR,"10740 --- [nio-8080-exec-14] c.n.p.service.MeshDataService      : Creating asset with payload={""name"":""AssetAssetT"",""type"":""Bond""}"
2026-02-19 19:18:57.430,ERROR,10742 --- [nio-8080-exec-3] c.n.p.controller.MeshDataController      : Received GET request for /api/v1/accounts/309
2026-02-19 19:19:01.430,ERROR,10746 --- [nio-8080-exec-18] c.n.p.controller.MeshDataController      : Deleting asset with assetId=843
2026-02-19 19:19:05.430,ERROR,"10750 --- [nio-8080-exec-3] c.n.p.controller.MeshDataController      : Asset created successfully, assetId=994"
2026-02-19 19:19:06.430,ERROR,"10751 --- [nio-8080-exec-20] c.n.p.service.MeshDataService      : Validation failed for accountId=278, reason=Invalid phone number"
2026-02-19 19:19:10.430,ERROR,10755 --- [nio-8080-exec-4] c.n.p.controller.MeshDataController      : Asset creation took longer than expected (duration=2964ms)
2026-02-19 19:19:14.430,ERROR,"10759 --- [nio-8080-exec-11] c.n.p.controller.MeshDataController      : Asset created successfully, assetId=935"
2026-02-19 19:19:16.430,ERROR,"10761 --- [nio-8080-exec-1] c.n.p.service.MeshDataService      : Failed to return asset details for assetId=359, status=404"
2026-02-19 19:19:21.430,ERROR,10766 --- [nio-8080-exec-12] c.n.p.service.MeshDataService      : Deleting asset with assetId=352
2026-02-19 19:19:23.430,ERROR,"10768 --- [nio-8080-exec-19] c.n.p.controller.MeshDataController      : Asset created successfully, assetId=359"
2026-02-19 19:19:24.430,ERROR,10769 --- [nio-8080-exec-8] c.n.p.controller.MeshDataController      : Account not found for accountId=221
2026-02-19 19:19:28.430,ERROR,"10773 --- [nio-8080-exec-2] c.n.p.controller.MeshDataController      : Failed to return asset details for assetId=761, status=404"
2026-02-19 19:19:30.430,ERROR,10775 --- [nio-8080-exec-6] c.n.p.controller.MeshDataController      : Received PUT request for /api/v1/assets/638
2026-02-19 19:19:44.430,ERROR,10789 --- [nio-8080-exec-19] c.n.p.service.MeshDataService      : Fetching asset details for assetId=818
2026-02-19 19:19:53.430,ERROR,10798 --- [nio-8080-exec-11] c.n.p.controller.MeshDataController      : Successfully returned asset details for assetId=426
2026-02-19 19:19:54.430,ERROR,"10799 --- [nio-8080-exec-15] c.n.p.service.MeshDataService      : Creating asset with payload={""name"":""AssetAssetM"",""type"":""Bond""}"
2026-02-19 19:20:10.430,ERROR,10815 --- [nio-8080-exec-17] c.n.p.controller.MeshDataController      : Asset creation took longer than expected (duration=2569ms)
